ASIN,brand,url,images,title,star,color,color_pic,comment,price_low,price_high,feature
B06XNKTY44,Under,https://www.amazon.com/Under-Armour-Womens-Highlight-Lacrosse/dp/B06XNKTY44/ref=sr_1_1?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-1,"https://images-na.ssl-images-amazon.com/images/I/411ts4HVbDL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour 女款 Lax 高亮 MC 長曲棍球鞋，,4.1,"White (100)/Metallic Gold,White (101)/Midnight Navy,White (104)/White,White (161)/Red","https://images-na.ssl-images-amazon.com/images/I/41fdDB4AiBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41sEnIKKdVL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/411ts4HVbDL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51wsnTUutzL._SS36_.jpg",48,"TWD 2,193.07","TWD 3,928.14","合成纖維
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量大約 5.5」從拱門
							
						
 
							UA ClutchFit 鞋面將您的腳包裹在「第二層皮」的優勢中，提供強大的支撐和令人難以置信的感受
							
						
 
							鞋面關鍵部位採用戰略刺繡技術，加強鎖定 支撐
							
						
 
							腳踝內部泡沫緩衝 增加舒適度 & 減少腳跟滑落模製 4D 泡棉鞋墊符合您鞋子的確切形狀，消除滑落和減少鞋釘壓力
輕巧的模製 TPU 鞋板在任何領域提供卓越的抓地力"
B07G7X2HB2,Under,https://www.amazon.com/Under-Armour-Hammer-Football-Black/dp/B07G7X2HB2/ref=sr_1_2?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-2,"https://images-na.ssl-images-amazon.com/images/I/41P0EQ53hXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour 男款 Hammer Mid Rm 足球鞋,4.6,"Royal (400)/White,White (100)/White,Black (002)/White,Red (600)/White,Black/Team Royal,Black (004)/Red,Black (011)/White,Black/Black,Black (041)/Team Royal,Black (061)/Red,Black/White 1","https://images-na.ssl-images-amazon.com/images/I/51vdPDka7UL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41M5yvNkmcL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41P0EQ53hXL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51Zok7o05kL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41t-7X-zUaL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41FpsDG4y3L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51Sd5U2MqjL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lzgNkoDxL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51WRgnkkGRL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51wqjq4e6TL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lzgNkoDxL._SS36_.jpg",107,"TWD 1,047.26","TWD 4,217.54","合成纖維
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量大約 mid-top」從拱門
							
						
 
							耐用合成鞋面提供輕量化 & 支撐性
							
						
 
							模切 EVA 鞋墊腳下舒適穩定
							
						
 
							橡膠模製鞋墊在任何表面上提供卓越的抓地力
							
						
 
							重量：13.5 盎司。"
B074VK6QR7,Under,https://www.amazon.com/Under-Armour-Spotlight-Lacrosse-White/dp/B074VK6QR7/ref=sr_1_3?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-3,"https://images-na.ssl-images-amazon.com/images/I/419wMTm5l6L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417NvVHWp2L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UUpL46fKL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41GTt6Kx37L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31-6eBhD1ML._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41W5b0XlErL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417JFo7X9vL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour 男士 Spotlight Mc 長曲棍球鞋，,3.7,"Black/Black,Midnight Navy/White,Red (600)/White,Team Royal (401)/White,White (100)/White,White (101)/Metallic Gold,Metallic Gold (900)/Metallic Gold,Metallic Silver (105)/Black","https://images-na.ssl-images-amazon.com/images/I/41OEnrufnXL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41JXTMEsd%2BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51yTjNuaV7L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41FenTvk4-L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/419wMTm5l6L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41KnxLm9VOL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/4173KBbaf8L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41YSsrlaPOL._SS36_.jpg",43,"TWD 2,235.95","TWD 3,614.52","織品
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							編織鞋面提供輕盈、類似襪子的合身度，搭配旋入式 TPU 塗層紗線，提供區域穩定性和支撐性
							
						
 
							全長靴子結構與模製腳踝領，增加結構，伸展支撐 & 支撐，舒適貼合
							
						
 
							TPU 腳跟單元和腳趾盒塗層，增強保護和耐用性
							
						
 
							高反彈 SuperFoam 鞋墊提供最佳的吸震和舒適度
							
						
 
							超轻便的速度板结合 BZM 和 TPU，令人難以置信的稳定性和强度"
B071P3D41R,Under,https://www.amazon.com/Under-Armour-Highlight-Football-Black/dp/B071P3D41R/ref=sr_1_4?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-4,"https://images-na.ssl-images-amazon.com/images/I/41kCadGZszL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/419Wos3kHQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41QtOXLc9OL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41pmk0StT9L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31IIXgf7CQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Me2dg25IL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51rX0JY0RCL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour 男式 highlight MC 足球鞋，,4.4,"Red (601)/White,Black (002)/White,Black/Black,Team Royal (401)/White,Black (006)/Team Royal,Black (008)/Red,Metallic Gold (900)/Metallic Gold,White (100)/White,Midnight Navy (402)/White,Black/ Classic Green,Black/ Steeltown Gold,Classic Green/ White,Black/ Team Orange,Team Orange/ White,Black/ Metallic Gold,Black/ Carolina Blue,Cardinal/ White,Black/ Purple,Forest Green/ White,Carolina Blue/ White,Midnight Navy/ Steeltown Gold,Team Royal/ Red,Silver/Gold","https://images-na.ssl-images-amazon.com/images/I/51O6Rd%2BDJ5L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51zTTnbhcOL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41kCadGZszL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Edym3QCFL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51%2BdFe1S0LL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/415cqTIaw4L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51o6yuNUEIL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41fCcE16DAL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41vlC85ll2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41cqtrjg23L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51uuHFpaPrL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41J6eynK8xL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/517thoeukOL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-YzIfoTyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/516IXr6m8tL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41MX9v0%2BCtL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41icG1jUePL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zz6hRReLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/417MDmewa0L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41DBs5hoUbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51mAyxNLh2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nwKvJP0NL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/4126j7wsBQL._SS36_.jpg",84,"TWD 2,197.98","TWD 6,458.40","織品和合成
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量大約 7.5」從拱門
							
						
 
							超高織布鞋面，採用 TPU 熱熔框架，極致兼顧舒適與穩定性
							
						
 
							貼合的 CompFit 腳踝結構提供舒緩舒適的感覺，提升速度與穩定性
							
						
 
							3D 模製鞋舌，增加舒適度與更好的貼合度高弹力超泡沫鞋垫提供较佳的吸震和舒适性
全長 TPU 貼片非常耐用且穩定"
B072LNKC3N,Under,https://www.amazon.com/Under-Armour-Football-Metallic-Silver/dp/B072LNKC3N/ref=sr_1_5?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-5,"https://images-na.ssl-images-amazon.com/images/I/41B3KVm4QpL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour Men's Nitro Low Mc Football Shoe,4.2,"Black/White,Midnight Navy (401)/White,Red (600)/White,Team Royal (400)/White,White (100)/Metallic Silver,White (102)/Forest Green,White (101)/Cardinal","https://images-na.ssl-images-amazon.com/images/I/41ykusnbZmL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41laCLoZBVL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41iSZ6InjFL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Q5-5vqjnL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41B3KVm4QpL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41QAgLVA6hL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41cC3Kei5iL._SS36_.jpg",60,"TWD 1,865.69","TWD 2,618.98","人造
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							將塗層紡織品與策略性地放置的合成材料相結合，形成支撐架，提供卓越的穩定性、透氣性和舒適性
							
						
 
							開孔網眼鞋舌結構，提升透氣性
							
						
 
							模製鞋頭蓋，增加保護和耐用性TPU 鞋跟夾提供額外的支撐和穩定性
模切 EVA 鞋墊，提供絕佳的舒適性和耐穿性"
B075ZYJCJP,NIKE,https://www.amazon.com/Nike-Menace-Football-Metallic-Silver/dp/B075ZYJCJP/ref=sr_1_6?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-6,"https://images-na.ssl-images-amazon.com/images/I/41d01tsCq7L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41g7peSTAbL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31MkOGjOeUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zFnCYz5xL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Hd5SVIwIL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41hZhIelj-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51bWU4VmO5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",NIKE Kids' Alpha Menace 鯊魚足球鞋款,4.3,"Black/Metallic Silver/White,White/University Red,White/Silver,White/Game Royal","https://images-na.ssl-images-amazon.com/images/I/41d01tsCq7L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41MqG047VIL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/31ZEvJcgwtL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qQb6Ml7dL._SS47_.jpg",37,"TWD 1,177.23","TWD 2,752.22","leather-and-synthetic
							
						
 
							合成皮革鞋面增加耐用性。
							
						
 
							尼龍中底提供輕量緩衝。
							
						
 
							鯊魚橡膠大底提供強力抓地力。
							
						
 
							Nike Fast Flex 技術讓您的雙腳自然移動。"
B07G7ZCZSZ,Under,https://www.amazon.com/Under-Armour-Hammer-Football-Black/dp/B07G7ZCZSZ/ref=sr_1_7?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-7,"https://images-na.ssl-images-amazon.com/images/I/41hWIYCp2oL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HZJbJ9CPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ttdfrgmNL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/3129LTQwuXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31b3-i14XIL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41sKUKNwA9L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41yWG8TXRmL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour 男款 Hammer Mid Rm 寬版足球鞋,4.8,,,14,"TWD 1,473.17","TWD 1,636.86","織品和合成
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 mid-top 從拱門
							
						
 
							Under Armour 的使命是透過激情、設計和不斷創新，讓所有運動員都更出色
							
						
 
							從哪裡開始？ 一切始於打造卓越 T 恤的構想
							
						
 
							Under Armour 為男性、女性和青少年提供多樣化產品組合的技術十分複雜，但收穫優勢的計劃非常簡單：熱時穿戴 HeatGear，冷時穿戴 ColdGear，極端之間的 AllSeasonGear。
							
						
 
							0"
B07P7HXNFK,adidas,https://www.amazon.com/adidas-Adizero-Primeknit-Cleats-White/dp/B07P7HXNFK/ref=sr_1_8?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-8,"https://images-na.ssl-images-amazon.com/images/I/31cRcEqHfjL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31mXBZAY39L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Gg%2BTatYXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Adizero 8.0 Primeknit Shoe- 男款足球鞋,3.5,"Cloud White / Cloud White / Silver Metal,Core Black / Core Black / Night Metallic,Solar Red / Cloud White / Core Black,Black/Silver,Black/White","https://images-na.ssl-images-amazon.com/images/I/31cRcEqHfjL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lE8Nube-L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-t9n2y0VL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/4146Z4IkEPL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HLevO-n-L._SS47_.jpg",5,"TWD 3,732.04","TWD 6,759.91","合成纖維
							
						
 
							一般版型
							
						
 
							帶鞋帶的套入式結構。
							
						
 
							愛迪達 Primeknit 紡織鞋面
							
						
 
							合成鞋底；織布襯裡；鞋跟拉帶
							
						
 
							型號#F97227"
B07H6RNW6R,adidas,https://www.amazon.com/adidas-Unisex-Adizero-Football-Metallic/dp/B07H6RNW6R/ref=sr_1_9?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-9,"https://images-na.ssl-images-amazon.com/images/I/41bBzV82ecL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zDr0fT16L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31AluUw%2B7WL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/21G-UWf3DfL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31oLtDClEpL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31wKFidNOwL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wrmu20%2BCL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas 兒童 Adizero Spark Md 足球鞋,4.1,,,4,TWD 851.17,"TWD 2,946.35","NA
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 mid-top 從拱門
							
						
 
							adidas 品質
							
						
 
							由 adidas 進口"
B07HFMSCY5,adidas,https://www.amazon.com/adidas-Freak-Football-Black-White/dp/B07HFMSCY5/ref=sr_1_10?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569455820&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-10,"https://images-na.ssl-images-amazon.com/images/I/41W9SZ2D3cL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/416d%2BjhKriL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31kc0W3ANQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31VmMz6%2BZ3L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31g451CDi-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31CAadqZs3L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41T5EcbJ7IL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas 男款 Freak Mid Md 足球鞋,4.4,,,3,"TWD 1,145.80","TWD 1,844.09","織品和合成
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 mid-top 從拱門
							
						
 
							阿迪達斯真品
							
						
 
							進口"
