商品型號,商品網址,商品照片,商品標題,品牌,分類,男女款,價格(台幣),商品介紹,主要顏色,次要顏色,主色比例,次色比例
52675_BKW,https://www.skechers.com/en-us/style/52675/d-lites/bkw,https://image.skechers.com/img/productimages/xlarge/52675_BKW_F.jpg,Men's D'Lites,Skechers,ATHLETICS,Man,70,"A classic favorite look crosses over with comfort in the SKECHERS D'Lites shoe. Smooth trubuck leather and fabric upper in a lace up sporty casual sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth soft trubuck leather upper
Mesh fabric overlays
Smooth synthetic edging trim
Lace up sporty athletic training and walking sneaker design
Stitching accents
Side overlay panels
Contrast colored mesh fabric panels for cooling effect
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing supportive midsole
Flexible rubber traction outsole
1 1/4 inch built in heel",,,,
52675_NVY,https://www.skechers.com/en-us/style/52675/d-lites/nvy,https://image.skechers.com/img/productimages/xlarge/52675_NVY_F.jpg,Men's D'Lites,Skechers,ATHLETICS,Man,70,"A classic favorite look crosses over with comfort in the SKECHERS D'Lites shoe. Smooth trubuck leather and fabric upper in a lace up sporty casual sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth soft trubuck leather upper
Mesh fabric overlays
Smooth synthetic edging trim
Lace up sporty athletic training and walking sneaker design
Stitching accents
Side overlay panels
Contrast colored mesh fabric panels for cooling effect
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing supportive midsole
Flexible rubber traction outsole
1 1/4 inch built in heel",,,,
52675_NVOR,https://www.skechers.com/en-us/style/52675/d-lites/nvor,https://image.skechers.com/img/productimages/xlarge/52675_NVOR_E.jpg,Men's D'Lites,Skechers,ATHLETICS,Man,70,"A classic favorite look crosses over with comfort in the SKECHERS D'Lites shoe. Smooth trubuck leather and fabric upper in a lace up sporty casual sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth soft trubuck leather upper
Mesh fabric overlays
Smooth synthetic edging trim
Lace up sporty athletic training and walking sneaker design
Stitching accents
Side overlay panels
Contrast colored mesh fabric panels for cooling effect
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing supportive midsole
Flexible rubber traction outsole
1 1/4 inch built in heel",,,,
52675_BRTN,https://www.skechers.com/en-us/style/52675/d-lites/brtn,https://image.skechers.com/img/productimages/xlarge/52675_BRTN_E.jpg,Men's D'Lites,Skechers,ATHLETICS,Man,70,"A classic favorite look crosses over with comfort in the SKECHERS D'Lites shoe. Smooth trubuck leather and fabric upper in a lace up sporty casual sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth soft trubuck leather upper
Mesh fabric overlays
Smooth synthetic edging trim
Lace up sporty athletic training and walking sneaker design
Stitching accents
Side overlay panels
Contrast colored mesh fabric panels for cooling effect
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing supportive midsole
Flexible rubber traction outsole
1 1/4 inch built in heel",,,,
52675_BBK,https://www.skechers.com/en-us/style/52675/d-lites/bbk,https://image.skechers.com/img/productimages/xlarge/52675_BBK_F.jpg,Men's D'Lites,Skechers,ATHLETICS,Man,70,"A classic favorite look crosses over with comfort in the SKECHERS D'Lites shoe. Smooth trubuck leather and fabric upper in a lace up sporty casual sneaker with stitching and overlay accents. Air Cooled Memory Foam insole.
Construction

Smooth soft trubuck leather upper
Mesh fabric overlays
Smooth synthetic edging trim
Lace up sporty athletic training and walking sneaker design
Stitching accents
Side overlay panels
Contrast colored mesh fabric panels for cooling effect
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Lightweight shock absorbing supportive midsole
Flexible rubber traction outsole
1 1/4 inch built in heel",,,,
51828_WHT,https://www.skechers.com/en-us/style/51828/energy-brunkz/wht,https://image.skechers.com/img/productimages/xlarge/51828_WHT_E.jpg,Men's Energy - Brunkz,Skechers,ATHLETICS,Man,65,"The original design returns to its clean, classic ideal form in the SKECHERS Energy - Brunkz shoe. Smooth clean leather upper in a lace up sporty casual sneaker with stitching and overlay accents.
Construction

Smooth clean leather upper
Stitching accents
Lace up sporty casual sneaker design
Leather overlay detail at toe, sides and heel panel
Durable toe bumper overlay
Perforation detail at front panel
Original-style wave edge layered side overlay detailing
Heel panel with padded fabric collar trim
Lace up front with metal top eyelet
Vintage-style S logo detail on side and heel panel
Padded collar and tongue
Soft fabric shoe lining
Cushioned comfort insole
Shock absorbing midsole with sculpted detail
Metallic midsole detailing on heel panel
Flexible traction outsole
1 1/2 inch heel height",,,,
51829_WML,https://www.skechers.com/en-us/style/51829/energy-timeless-vision/wml,https://image.skechers.com/img/productimages/xlarge/51829_WML_E.jpg,Men's Energy - Timeless Vision,Skechers,ATHLETICS,Man,70,"A classic sneaker style stays perenially clean and cool in the classic SKECHERS Energy - Timeless Vision sneaker. Smooth leather upper in a casual sport sneaker with stitching and overlay details.
Construction

Smooth leather upper
Lace up classic sporty training sneaker design
Stitching accents
Leather overlays at toe, sides and heel
Side embroidered SKX classic-style logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Cushioned comfort insole
Supportive shock absorbing midsole
Flexible rubber traction outsole
Metallic side heel detail
2 inch heel",,,,
52683_BKW,https://www.skechers.com/en-us/style/52683/d-lites-3-0-goblin/bkw,https://image.skechers.com/img/productimages/xlarge/52683_BKW_E.jpg,Men's D'Lites 3.0 - Goblin,Skechers,ATHLETICS,Man,75,"Add some airy design to a favorite sneaker look with the SKECHERS D'Lites 3 - Goblin shoe. Smooth leather, synthetic and mesh fabric in a lace up sporty athletic fashion sneaker with stitching accents and Air-Cooled Memory Foam insole.
Construction

Smooth leather upper
Smooth synthetic contrast colored side overlay panels
Woven athletic mesh fabric at front and sides for cooling effect
Lace up front sporty comfort fashion sneaker design
Matching color or contrast colored edging trim on side panels
Stitching accents
Side overlay panels
Mesh fabric for cooling effect
D'Lites 3 logo details on heel and tongue
Lace up front with fabric eyelets
Padded collar and tongue
Soft fabric shoe lining
Air-Cooled Memory Foam cushioned comfort insole
Wave-inspired lightweight shock absorbing supportive midsole
Flexible rubber traction outsole
1 1/4 inch midsole
2 inch heel height",,,,
52684_WNVR,https://www.skechers.com/en-us/style/52684/d-lites-3-0-merriton/wnvr,https://image.skechers.com/img/productimages/xlarge/52684_WNVR_E.jpg,Men's D'Lites 3.0 - Merriton,Skechers,ATHLETICS,Man,75,"A classic favorite sneaker look gets airy cushioning comfort and pops of color with the SKECHERS D'Lites 3 - Merriton shoe. Smooth leather, synthetic and mesh fabric in a lace up sporty athletic fashion sneaker with stitching accents and Air-Cooled Memory Foam insole.
Construction

Smooth leather upper
Smooth synthetic contrast colored toe and heel overlay panels
Woven athletic mesh fabric at sides and tongue for cooling effect
Lace up front sporty comfort fashion sneaker design
Contrast colored toe and heel bumper overlay panels
Stitching accents
Metallic synthetic overlay detail at heel panel
Mesh fabric contrast colored panels with woven texture finish
D'Lites 3 logo detail on tongue
Lace up front with stripe fabric eyelets and metal top eyelet
Padded collar and tongue
Soft fabric shoe lining
Air-Cooled Memory Foam cushioned comfort insole
Wave-inspired lightweight shock absorbing supportive midsole
Color detail on midsole and outsole
Flexible rubber traction outsole
1 1/4 inch midsole
2 inch heel height",,,,
51716_OFWT,https://www.skechers.com/en-us/style/51716/skechers-monster-kyreko/ofwt,https://image.skechers.com/img/productimages/xlarge/51716_OFWT_E.jpg,Men's Skechers Monster - Kyreko,Skechers,ATHLETICS,Man,75,"Trample the countryside like a kaiju wearing the urban hiking style and comfort of the Skechers Monster - Kyreko shoe. Soft woven mesh fabric, smooth leather and synthetic upper in a lace up athletic training sneaker with stitching and overlay accents. Unique textured midsole design, Air Cooled Memory Foam insole.
Construction

Soft woven mesh fabric upper
Action leather and synthetic overlays
Lace up athletic training sneaker design
Stitching accents
Leather overlays at sides and tongue panel
Synthetic toe and heel overlays
Stabilizing synthetic side overlay panels with lace-through effect
Side SKECHERS logo detail on overlay panel
Heel overlay panel with top pull on loop
Lace up front with matching or contrast fabric detail
Padded continous collar for slip-on style comfort
High apex front panel for added style
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Skechers Monster high texture midsole design with sculpted detail
Lugged design high traction flexible outsole
Contrast colored rubber outsole detail with side accents
Midsole with stabilizing sidewall wrap accents
2 inch heel height",,,,
51944_BKMT,https://www.skechers.com/en-us/style/51944/skechers-monster-kordes/bkmt,https://image.skechers.com/img/productimages/xlarge/51944_BKMT_E.jpg,Men's Skechers Monster - Kordes,Skechers,ATHLETICS,Man,70,"Take your sporty streetwise style and comfort levels into beast mode with the Skechers Monster - Kordes shoe. Soft textured knit fabric and smooth synthetic upper in a slip on laced-front athletic walking and training sneaker with stitching and overlay accents. Unique textured midsole design, Air Cooled Memory Foam insole.
Construction

Soft textured knit fabric upper
Smooth synthetic overlays with leather-texture finish
Slip on laced-front athletic walking and training sneaker design
Stitching accents
Lightly textured fabric finish
Synthetic overlays at toe, sides and heel panel
Side S logo detail on overlay panel
Heel overlay panel with top pull on loop
Front fabric overlay with laced-through detail and top pull on loop
Laced front panel with side fabric eyelets and adjustable tie for a precise fit
Slip on design with dual side stretch fabric panels for comfort
High apex front and heel design for added style
Soft fabric shoe lining
Air Cooled Memory Foam cushioned comfort insole
Skechers Monster high texture midsole design with sculpted detail
Lugged design high traction flexible outsole
Contrast colored rubber outsole detail with side accents
Midsole with stabilizing sidewall wrap accents
2 inch heel height",,,,
51286_BKGY,https://www.skechers.com/en-us/style/51286/stamina-cutback/bkgy,https://image.skechers.com/img/productimages/xlarge/51286_BKGY_E.jpg,Men's Stamina - Cutback,Skechers,ATHLETICS,Man,70,"A classic athletic trainer gets a comfort update in the SKECHERS Stamina - Cutback shoe. Leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Trubuck durable leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Lace up athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Reflective synthetic edging trim
Breathable cordura mesh side panels
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51286_BKNV,https://www.skechers.com/en-us/style/51286/stamina-cutback/bknv,https://image.skechers.com/img/productimages/xlarge/51286_BKNV_E.jpg,Men's Stamina - Cutback,Skechers,ATHLETICS,Man,70,"A classic athletic trainer gets a comfort update in the SKECHERS Stamina - Cutback shoe. Leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Trubuck durable leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Lace up athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Reflective synthetic edging trim
Breathable cordura mesh side panels
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51286_BKRD,https://www.skechers.com/en-us/style/51286/stamina-cutback/bkrd,https://image.skechers.com/img/productimages/xlarge/51286_BKRD_E.jpg,Men's Stamina - Cutback,Skechers,ATHLETICS,Man,70,"A classic athletic trainer gets a comfort update in the SKECHERS Stamina - Cutback shoe. Leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Trubuck durable leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Lace up athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Reflective synthetic edging trim
Breathable cordura mesh side panels
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
51286_NVBK,https://www.skechers.com/en-us/style/51286/stamina-cutback/nvbk,https://image.skechers.com/img/productimages/xlarge/51286_NVBK_F.jpg,Men's Stamina - Cutback,Skechers,ATHLETICS,Man,70,"A classic athletic trainer gets a comfort update in the SKECHERS Stamina - Cutback shoe. Leather, synthetic and mesh fabric upper in a lace up athletic sporty training sneaker with stitching, overlay and perforation accents. Memory Foam insole.
Construction

Trubuck durable leather upper
Synthetic overlays
Mesh fabric panels for cooling effect
Lace up athletic training sneaker design
Stitching accents
Durable synthetic toe and heel bumper overlays
Reflective synthetic edging trim
Breathable cordura mesh side panels
Side S logo
Lace up front
Padded collar and tongue
Soft fabric shoe lining
Memory Foam full length cushioned comfort insole
Shock absorbing supportive midsole
Stabilized midfoot
Dura-Grip flexible rubber high traction outsole
1 3/4 inch built in heel",,,,
