ASIN,brand,url,images,title,star,color,color_pic,comment,price_low,price_high,feature
B0007PN9ZG,adidas,https://www.amazon.com/adidas-Samba-Classic-Soccer-Running/dp/B0007PN9ZG/ref=sr_1_1?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-1,"https://images-na.ssl-images-amazon.com/images/I/417L26YrrnL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/412ZYIlUydL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/418ZX6IjP3L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31FUpK1j-aL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31aeXHE9VdL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Arkfd82tL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31q3k-7y5nL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Performance 男款 Samba 經典室內足球鞋,4.4,"Schwarz/White,White/Black/White,Black/White/Gum","https://images-na.ssl-images-amazon.com/images/I/417L26YrrnL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31028PShIuL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/417L26YrrnL._SS36_.jpg","3,443","TWD 1,448.62","TWD 4,890.29","皮革
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量大約 Low-Top」從拱門
							
						
 
							經典足球鞋，全粒面皮革鞋面，三條紋品牌
							
						
 
							可拆式鞋墊。 貼合 - 如果介於兩個尺寸之間，若尺寸緊密貼合，請下訂一個尺寸，寬鬆一點，請選擇大一號尺寸
							
						
 
							EVA 內底。 貼合 - 若是介於兩個尺寸之間，若是緊密貼合，請下訂一個尺寸，寬鬆剪裁，請選擇大一號尺寸無痕大底；耐用橡膠大底
麂皮內層提供耐磨與鞋面保護"
B005BHW15O,adidas,https://www.amazon.com/adidas-Copa-Mundial-Cleats-Mens/dp/B005BHW15O/ref=sr_1_2?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-2,"https://images-na.ssl-images-amazon.com/images/I/41%2BLvi%2BmLlL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41alQvfhJAL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ZQJ-h9SSL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31GrZrbjXIL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31TIQ4cMceL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31OLz2PQq5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/514D%2Bf3K1GL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Performance 男款 Copa Mundial 足球鞋,4.4,"Black/White/Black,Black/White,Black,Black / Cloud White / Black,Schwarz/Ftwr White/Black","https://images-na.ssl-images-amazon.com/images/I/41%2BLvi%2BmLlL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BLvi%2BmLlL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BLvi%2BmLlL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BLvi%2BmLlL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BLvi%2BmLlL._SS36_.jpg",721,"TWD 3,272.74","TWD 9,002.41","皮革
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							皮革鞋面
							
						
 
							合成襯裡，著感舒適
							
						
 
							模切 EVA 內底，輕盈舒適
							
						
 
							耐用大底，堅固的天然地面"
B000O3QK48,adidas,https://www.amazon.com/adidas-Performance-MUNDIAL-Athletic-black/dp/B000O3QK48/ref=sr_1_3?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-3,"https://images-na.ssl-images-amazon.com/images/I/41HtYKJsRtL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Eb%2BUWRWCL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zp4%2BK-d-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41EP8NMx72L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/415t0s0zmLL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ilZOLAmqL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31vHNYVdvUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Performance Mundial Team Turf 足球鞋,4.5,"Black/White,Black / Cloud White / Red,Black, White,Black/Runwht/Red,黑色","https://images-na.ssl-images-amazon.com/images/I/41HtYKJsRtL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HtYKJsRtL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41WrWN5xvnL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HtYKJsRtL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41sWmo27CZL._SS47_.jpg",885,"TWD 2,290.30","TWD 4,255.84","皮革
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量大約 low-top」從拱門
							
						
 
							拼接麂皮鞋面
							
						
 
							合成襯裡，著感舒適
							
						
 
							模切 EVA 內底，輕盈舒適預製 EVA 中底，輕量緩衝
TRAXION 大底提供所有方向的最大抓地力"
B07KX8W9WN,adidas,https://www.amazon.com/adidas-Predator-Ground-Soccer-Metallic/dp/B07KX8W9WN/ref=sr_1_4?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-4,"https://images-na.ssl-images-amazon.com/images/I/31MChLntYoL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/410NWRMboqL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41D06OwBDlL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31kQEH7GZcL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31nj2FXkbiL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31IV8z3x0fL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41u%2BCWyNVVL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas 男性 Predator 19.3 堅硬地面足球鞋,4.3,"Active Red/Solar Red/Black,Black/Black/Active Red,Black/Black/Gold Metallic,Bold Blue/Silver Metallic/Active Red,Bright Cyan/Black/Solar Yellow,Silver Metallic/Black/Hi-res Red,White/Bold Blue/Bold Blue","https://images-na.ssl-images-amazon.com/images/I/41sMHSL3rWL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ivfTQU7DL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31MChLntYoL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41xalh23FzL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41gJuHqwmjL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41G0vk5YAbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41YaxWWLPsL._SS36_.jpg",81,"TWD 1,620.49","TWD 5,249.09","織品和合成
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							使用 Predator 19.3 FG 足球鞋，adidasÂ 能快速挖空田野。"
B000QXFAIS,adidas,https://www.amazon.com/adidas-Samba-Classic-Soccer-Little/dp/B000QXFAIS/ref=sr_1_5?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-5,"https://images-na.ssl-images-amazon.com/images/I/41aRNs9IkDL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417jRYQvmSL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41shorQGGeL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/414POmyerVL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Qty2rPnPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41jnLuOtN0L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41dsUxD7hWL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Samba 經典皮革足球鞋,4.7,"White/Black/White,Black/White","https://images-na.ssl-images-amazon.com/images/I/41aRNs9IkDL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41aRNs9IkDL._SS36_.jpg",732,"TWD 1,062.98","TWD 4,045.01","織品和合成
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							adidas 鞋
							
						
 
							進口"
B07MH6F29L,Nike,https://www.amazon.com/Nike-Mercurial-Superfly-Academy-MG/dp/B07MH6F29L/ref=sr_1_6?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-6,"https://images-na.ssl-images-amazon.com/images/I/41fwALGU-0L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Qbv2V3lFL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UBb5ZsE9L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wh3qtTNOL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41kmCTV0EPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BI5WFDMUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Nike 男款足球水星超飛 7 Academy 多地面鞋,4.4,"Black,Blue","https://images-na.ssl-images-amazon.com/images/I/41fwALGU-0L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41GYZBQ80KL._SS47_.jpg",20,"TWD 1,581.21","TWD 4,845.11","合成纖維
							
						
 
							Fabric sole
							
						
 
							二層貼合 舒適的襯裡和動態貼合領一起工作，包覆您的腳，感覺就像第二層皮膚。
							
						
 
							觸感柔軟合成材質的質感從腳跟到腳趾的紋理，讓您以高速速度創造力所需的觸感。
							
						
 
							多功能牽引力 前足有 Nike Aerotrk 區的多功能多地面板，可在自然和人工草地表面上提供牽引力。
							
						
 
							輕量緩衝鞋墊
							
						
 
							腳趾上較高的板重疊，耐用，適用於短草或人造表面"
B07L8KDBYR,PUMA,https://www.amazon.com/PUMA-Mens-Black-Nrgy-Red-Puma-Silver/dp/B07L8KDBYR/ref=sr_1_7?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-7,"https://images-na.ssl-images-amazon.com/images/I/41lq%2BAODAoL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41514dZcQjL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41s6eeoFIpL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31UjDAQDnRL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Z98QzkmfL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417AmgwQkpL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51yyMogmF5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",PUMA Men's One 5.3 Fg/Ag 運動鞋,,"Puma Black-puma Black-puma Aged Silver,Puma Black-nrgy Red-puma Aged Silver","https://images-na.ssl-images-amazon.com/images/I/41YrpLTA6GL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lq%2BAODAoL._SS47_.jpg",,"TWD 2,252.32","TWD 2,618.98","布料與人造纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							足球表演
							
						
 
							PUMA One 手錶 男性 石英機芯 黑色"
B07L88WG49,PUMA,https://www.amazon.com/PUMA-Future-Netfit-Black-Puma-Silver/dp/B07L88WG49/ref=sr_1_8?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-8,"https://images-na.ssl-images-amazon.com/images/I/416Nl57TDjL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41O%2BgJySwwL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41LtDs32AkL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31T5RQP%2BKJL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31ua-8eM4AL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31jsC30WrSL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-veRBJj5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",PUMA Men's Future 4.3 Netfit Fg/Ag 運動鞋,5.0,"Glacial Blue-nrgy Red,Puma Black-puma Black-puma Aged Silver,Yellow Alert - Puma Black","https://images-na.ssl-images-amazon.com/images/I/41YQugwO%2BTL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/416Nl57TDjL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/51L4udf2QBL._SS47_.jpg",1 位客戶評價,"TWD 1,947.86","TWD 2,618.98","布料與人造纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							足球表演
							
						
 
							未來"
B076X8LJCV,Under,https://www.amazon.com/Under-Armour-Magnetico-Select-Soccer/dp/B076X8LJCV/ref=sr_1_9?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-9,"https://images-na.ssl-images-amazon.com/images/I/41yM50YajhL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51o2O-WqZ7L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51qMo25Bl8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41xr9bFauPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31%2BTiwDO3VL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41oRGkiPzXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/411aRBLWi1L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour Magnetico Select JR Firm Ground 運動鞋，12,3.4,"Black/Metallic Silver,Radio Red (600)/Radio Red,White (101)/Moroccan Blue,Teal Punch (300)/Moroccan Blue","https://images-na.ssl-images-amazon.com/images/I/41%2B4kfuKN8L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41yM50YajhL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41KLs-ezfVL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41V2Eg85KpL._SS36_.jpg",3,"TWD 1,187.05","TWD 2,553.18","合成纖維
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							創新的 ClutchFit 技術將皮革的柔軟度與合成材質的耐用性相結合，具備一流的貼合度、觸感和響應性
							
						
 
							內層有彈性、 輔助材料模塑腳部，打造精準、 手套般的貼合感，真正為每隻腳量身打造
							
						
 
							柔軟合成材質包覆您的腳踝 & 中足，增加穩定性並鎖住支撐貼合腳趾盒非常柔軟 觸感無與倫比
抗微生物Ortholite 鞋墊提供無與倫比的腳下舒適性和透氣性"
B07D9H3Z95,adidas,https://www.amazon.com/adidas-Gloro-Ground-Black-Yellow/dp/B07D9H3Z95/ref=sr_1_10?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459160&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-10,"https://images-na.ssl-images-amazon.com/images/I/41HSrl4uMrL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41AxR0vDaBL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41y8S-PVN2L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31%2BqiRWeqrL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31iQKDiv7dL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31ujDPa3ENL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Ih6%2BkGsgL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Copa Gloro 19.2 Firm Ground 足球鞋,4.2,"Black/Black/Solar Yellow,Black/Hi-res Red/Silver Metallic,Off White/Solar Red/Black,Solar Yellow/Black/Solar Yellow,White/Solar Lime/White,Core Black-grey","https://images-na.ssl-images-amazon.com/images/I/41HSrl4uMrL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bnE8-S5qL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UT7AUEbRL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-N0kyuvcL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31fF8SdaLHL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/317dAn5RYCL._SS36_.jpg",33,"TWD 1,145.48","TWD 4,929.24","皮革與人造布料
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							Adidas 品質
							
						
 
							Adidas 進口"
