日期,標題,內容,網址
"

                    				2019-09-27                    			","
    							週五球鞋販售預告｜Reebok X BT21 大軍可愛來襲！加上你最愛的藍色系 Yeezy 與 AJ12，天氣濕冷多買雙鞋穿也不為過吧~        					","
又到了各位朋友最難熬的月底啦！還好本週的發售球鞋都算是相當平價且實穿，像是 Converse All Star BB 就是 CP 值極高的籃球鞋，還有多雙實穿性球鞋絕對能滿足你的穿搭需求，特別的還有 Reebok 與知名卡通人物合作的 Pump Fury，依照人物刻畫來設計是不是相當可愛呢~來看看這週有哪些好貨吧。

Reebok x BT21 Instapump Fury

定價：NT$5,250
販售日期：2019/09/28
販售資訊：摩曼頓Momentum

今年適逢 Reebok InstaPump Fury 25 週年紀念，特別攜手知名卡通人物 BT21 打造全新聯名款式，每一款 InstaPump Fury 都以每位角色的特點為設計發想，不論是鞋面材質到整體細節都有獨到之處，根據角色的特性會有所變化，這次台灣販售為全女段，喜歡 BT21 的女性朋友們千萬別錯過！
 

adidas YEEZY BOOST 700 V2 “Hospital Blue”

定價：NT$10,800
販售日期：2019/09/28
販售資訊：adidas Originals、JUICE Taiwan、FRUITION、INVINCIBLE

YEEZY BOOST 700 V2 “Hospital Blue”在多層次的鞋面中融入 700 常用的藍灰色調，讓整體色彩更加一致，流線型的線條搭配絨面、網布的組合鞋身，最後再配上反光材質等細節，adidas Yeezy 700 身為老爹鞋之王，當之無愧。
 

AIR JORDAN 12 RETRO “GAME ROYAL”

定價：NT$6,300、GS NT$4,600
販售日期：2019/09/28
販售資訊：摩曼頓Momentum

今次 Jordan 12 代再次迎來一個經典的 Game Royal 皇家藍配色鞋款，漆黑的亮面皮革，配上經典的深藍大底，鞋頭前方內外側的麂皮所帶來的質感真的非同小可。
 

Converse All Star Pro BB “Flames”

定價：NT$3,680
販售日期：2019/09/27
販售資訊：尚智運動世界

Converse 在今年大張旗鼓重回籃球市場，以過去的經典鞋型注入全新科技打造出  All Star Pro BB，無奈之前首發的黑白配色台灣都沒有上市，讓眾多鞋迷們無法實際體驗這雙承襲優良基因的籃球鞋款，還好這次台灣終於迎來首發配色 “Flames”，點進連結看 COOL 為你帶來的完整版開箱⇒ COOL開箱｜CONVERSE 籃球鞋終於登台！ALL STAR PRO BB “FLAMES” 火大到都燒到荷包了啦！
 

Nike OBJ Joyride Flyknit

定價：NT$6,700
販售日期：2019/09/27
販售資訊：摩曼頓Momentum、JUICE Taiwan

Nike 與 NFL 球星 Odell Beckham Jr 攜手合作，以全新的 Joyride 技術為主軸，輔以 Flyknit 編織襪套設計，並特別以透明綁帶橫跨，上面刻有 OBJ 家鄉的名字“Baton Rouge – Louisiana”，以及一行清晰的文字“Best After 05/19/14”，這是他簽訂NFL合約的日期，OBJ 本人也親著上腳黑紅配色，展現融合科幻和運動的聯名新氣質！
 

adidas Consortium x Highs and Lows

定價：NT$3,980
販售日期：2019/09/28
販售資訊：JUICE Taiwan

來自澳洲西岸的潮流名所 Highs and Lows 多次與 adidas Consortium 合作，理所當然的也受邀參與了今年度的 Torsion System 30週年計畫！本次主理人 Matt Thomas 選擇以相當復古的 Torsion Edberg Comp 網球鞋款向經典致敬。
 

PUMA TRAILFOX OVERLAND

定價：NT$3,690
販售日期：2019/09/28
販售資訊：FRUITION

Puma Trailfox Overland 完美地結合了越野機能和時髦性的雙重要素，能夠符合嚴峻環境與地形，和耐用抗磨鞋底與超緩衝中底的 Trailfox 鞋款，鮮豔大膽的湖水綠、寶藍與螢光橘的結合，亮眼吸睛的撞色色彩兼具時尚前衛造型和實用性的全新造型，具有粗獷耐用的超高抓地力大底，並增添抽繩鞋帶系統，為時髦人士帶來優越科技機能越野跑鞋。
 

ADIDAS ORIGINALS FALCON

定價：NT$3,690
販售日期：2019/09/28
販售資訊：FRUITION

愛迪達秋冬迎來全新皮革材質，復古的奶油色 X 黑粉色系，與充滿活力的鮮黃 X 蜜桃粉色系，在皮革的運用之下更顯季節性的奢華質感，而其特殊的裁片層次與復古厚底外型更讓 Falcon 迷們愛不釋手，連鞋帶細節也特別多了混織設計，華麗的銀色金屬異材質點綴更增添了些許華麗特質。
 

WMNS NIKE AF1 SHADOW

定價：NT$4,000
販售日期：2019/09/28
販售資訊：FRUITION

本次 Air Force 1 Shadow 推出錯位拼接鞋面設計，大膽地將經典 SWOOSH 與鞋面裁片做拼接剪貼，共推出充滿粉嫩夢幻感的「馬卡龍配色」、「清新全白」與「膚色 x 紅綠」撞色色系，在各種色彩的層次堆疊與碰撞之下，更顯拼貼感的震撼與時髦度，且在鞋後跟更藏有小巧思的分別用兩種不同字體的 「NIKE」重複拼貼視覺。
 
延伸閱讀：欲戴王冠，必承其重！LEBRON 在兒子賽後馬上指導比賽缺失，網友：「這就是老爸是天下第一人的壓力…」
延伸閱讀：帥到連代言人都變拆禮物的小朋友？詹皇親自開箱 LEBRON 17 「特殊盒」版本，不斷發出魔性驚呼：「GOD！這太美了！」
延伸閱讀：特別企劃｜三十年過去依舊是經典！帶你快速了解 AIR JORDAN IV 的 5 大奧秘，原來這雙「超狂聯名款」價格竟飆破百萬！？
",https://www.cool-style.com.tw/wd2/archives/454186
"

                    				2019-09-27                    			","
    							承襲經典輪廓再進化！Nike Air Force 1 新款到來， Gore-Tex、NBA 版本滿足你的所有穿搭!        					","
繼 Air Force 1 Shadow 女子鞋款發表後，Air Force 1 系列再次擴展鞋款類型。此次，這個誕生於 1982 年的經典運動鞋系列為其忠實粉絲們呈現一系列別出心裁的作品，從籃球迷到 Swoosh 鞋迷都可找到專屬於自己的款式。其中有些設計採用的材質以季節和天氣為考量因素，而另外一些鞋款則強調假日風格的裝飾。整個系列包括 Air Force 1 NBA Pack、Air Force 1 Gore-Tex 及 Air Force 1 Black Skeleton 等。橫跨十月至十二月，所有鞋款都以獨特的設計向經典致敬。

與 Air Force 1 有深厚淵源的全方位歌手 ØZI，因為音樂走遍世界各地，在深刻感受到全球音樂生態與娛樂產業進步的同時，也讓 ØZI 更堅定他期待改變華語音樂文化的使命。
ØZI 說：「要改變整個文化，不可能只靠 1 個人，所以我很高興，在我身邊有很多和我一樣用心創作、玩音樂的人，大家彼此分享對音樂的理念，我們一起團結起來，才能真正改變我們這 1 代的華語音樂文化，並讓全世界看見我們 — 對我來說，這就是 All For 1 的意義。」

NBA 是無數籃球迷的熱愛與夢想，不同風格的球衣記錄了場上的拼鬥與汗水，也承載了無數的傳奇與經典。全新 Air Force 1 NBA 的設計靈感來自聯盟多支備受球迷喜愛隊伍的 90 年代風格球衣。鞋款採用綢緞質感的後跟以及前所未有的分裂式 Swoosh設計。低筒鞋款採用的顏色涵蓋了幾乎所有 NBA 常見的色調 —— 紅、黃、黑及海軍藍，而高筒鞋款則以三種色彩的配搭勾勒出傳奇球隊的經典氛圍。

jQuery( document ).ready(function() {
	jQuery( '#example3_454359' ).sliderPro({
		//width
				width: 1000,
				
		//height
				height: 700,
				
		//autoplay
				autoplay: true,
		autoplayOnHover: 'none',
								autoplayDelay: 5000,
		
		
		arrows: true,
		buttons: true,
		smallSize: 500,
		mediumSize: 1000,
		largeSize: 3000,
		fade: true,
		
		//thumbnail
		thumbnailArrows: true,
		thumbnailWidth: 100,
		thumbnailHeight: 100,
						thumbnailsPosition: 'bottom',
						centerImage: true,
		imageScaleMode: 'cover',
		allowScaleUp: true,
				startSlide: 0,
		loop: true,
		slideDistance: 5,
		autoplayDirection: 'normal',
		touchSwipe: true,
		fullScreen: true,
	});
});


/* Layout 3 */
/* border */
#example3_454359 .sp-selected-thumbnail {
	border: 4px solid #000000;
}

/* font + color */
.title-in  {
	font-family: Arial !important;
	color: #00000 !important;
	background-color: #FFFFFF !important;
	opacity: 0.7 !important;
}
.desc-in  {
	font-family: Arial !important;
	color: #FFFFFF !important;
	background-color: #00000 !important;
	opacity: 0.7 !important;
}

/* bullets color */
.sp-button  {
	border: 2px solid #000000 !important;
}
.sp-selected-button  {
	background-color: #000000 !important;
}

/* pointer color - bottom */
.sp-selected-thumbnail::before {
	border-bottom: 5px solid #000000 !important;
}
.sp-selected-thumbnail::after {
	border-bottom: 13px solid #000000 !important;
}

/* pointer color - top */

/* full screen icon */
.sp-full-screen-button::before {
    color: #FFFFFF !important;
}

/* hover navigation icon color */
.sp-next-arrow::after, .sp-next-arrow::before {
	background-color: #FFFFFF !important;
}
.sp-previous-arrow::after, .sp-previous-arrow::before {
	background-color: #FFFFFF !important;
}

#example3_454359 .title-in {
	color: #00000 !important;
	font-weight: bolder;
	text-align: center;
}

#example3_454359 .title-in-bg {
	background: rgba(255, 255, 255, 0.7); !important;
	white-space: unset !important;
	max-width: 90%;
	min-width: 40%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 14px !important;
}

#example3_454359 .desc-in {
	color: #FFFFFF !important;
	text-align: center;
}
#example3_454359 .desc-in-bg {
	background: rgba(#00000, 0.7) !important;
	white-space: unset !important;
	width: 80% !important;
	min-width: 30%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 13px !important;
}

.uris-title{
	font-family: Arial;
}

@media (max-width: 640px) {
	#example3_454359 .hide-small-screen {
		display: none;
	}
}

@media (max-width: 860px) {
	#example3_454359 .sp-layer {
		font-size: 18px;
	}
	
	#example3_454359 .hide-medium-screen {
		display: none;
	}
}
.fnf{
	background-color: #a92929;
	border-radius: 5px;
	color: #fff;
	font-family: initial;
	text-align: center;
	padding:12px;
}
/* Custom CSS */

Air Force 1


























Air Force 1 Gore-Tex 是 AF1 系列在冬季鞋款方面的一次新嘗試，並推出兩種版本。高筒版承襲前代鞋款的精髓（包括 AF1 Duck Boot 鞋款的外底），並進一步變化為可調式的拉鍊短靴，將 AF1 的時尚感和功能性都推升至新的高度。採用經過 GORE-TEX 測試的防水技術與戶外靴造型設計，並結合橡膠 Swoosh，不僅使它在各種天氣條件下都能保持出眾表現，更以粗獷的美學設計，帶來多樣化的風格選擇。而低筒版堅持Air Force的經典風格，採用耐磨尼龍材質、全粒面皮革及 Gore-Tex 防護內襯，並融入街頭時尚風格設計，全新演繹經典 Air Force 1。

jQuery( document ).ready(function() {
	jQuery( '#example3_454365' ).sliderPro({
		//width
				width: 1000,
				
		//height
				height: 700,
				
		//autoplay
				autoplay: true,
		autoplayOnHover: 'none',
								autoplayDelay: 5000,
		
		
		arrows: true,
		buttons: true,
		smallSize: 500,
		mediumSize: 1000,
		largeSize: 3000,
		fade: true,
		
		//thumbnail
		thumbnailArrows: true,
		thumbnailWidth: 100,
		thumbnailHeight: 100,
						thumbnailsPosition: 'bottom',
						centerImage: true,
		imageScaleMode: 'cover',
		allowScaleUp: true,
				startSlide: 0,
		loop: true,
		slideDistance: 5,
		autoplayDirection: 'normal',
		touchSwipe: true,
		fullScreen: true,
	});
});


/* Layout 3 */
/* border */
#example3_454365 .sp-selected-thumbnail {
	border: 4px solid #000000;
}

/* font + color */
.title-in  {
	font-family: Arial !important;
	color: #00000 !important;
	background-color: #FFFFFF !important;
	opacity: 0.7 !important;
}
.desc-in  {
	font-family: Arial !important;
	color: #FFFFFF !important;
	background-color: #00000 !important;
	opacity: 0.7 !important;
}

/* bullets color */
.sp-button  {
	border: 2px solid #000000 !important;
}
.sp-selected-button  {
	background-color: #000000 !important;
}

/* pointer color - bottom */
.sp-selected-thumbnail::before {
	border-bottom: 5px solid #000000 !important;
}
.sp-selected-thumbnail::after {
	border-bottom: 13px solid #000000 !important;
}

/* pointer color - top */

/* full screen icon */
.sp-full-screen-button::before {
    color: #FFFFFF !important;
}

/* hover navigation icon color */
.sp-next-arrow::after, .sp-next-arrow::before {
	background-color: #FFFFFF !important;
}
.sp-previous-arrow::after, .sp-previous-arrow::before {
	background-color: #FFFFFF !important;
}

#example3_454365 .title-in {
	color: #00000 !important;
	font-weight: bolder;
	text-align: center;
}

#example3_454365 .title-in-bg {
	background: rgba(255, 255, 255, 0.7); !important;
	white-space: unset !important;
	max-width: 90%;
	min-width: 40%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 14px !important;
}

#example3_454365 .desc-in {
	color: #FFFFFF !important;
	text-align: center;
}
#example3_454365 .desc-in-bg {
	background: rgba(#00000, 0.7) !important;
	white-space: unset !important;
	width: 80% !important;
	min-width: 30%;
	transform: initial !important;
	-webkit-transform: initial !important;
	font-size: 13px !important;
}

.uris-title{
	font-family: Arial;
}

@media (max-width: 640px) {
	#example3_454365 .hide-small-screen {
		display: none;
	}
}

@media (max-width: 860px) {
	#example3_454365 .sp-layer {
		font-size: 18px;
	}
	
	#example3_454365 .hide-medium-screen {
		display: none;
	}
}
.fnf{
	background-color: #a92929;
	border-radius: 5px;
	color: #fff;
	font-family: initial;
	text-align: center;
	padding:12px;
}
/* Custom CSS */

Air Force 1


























作為 2018 年 White Skeleton 版的後續之作，Air Force 1 Black Skeleton 採用反光外底，全黑色調上印製夜光骷髏圖案。
 
全新 2019 冬季 Air Force 1 系列於 9 月底起陸續透過 Nike.com 及指定店點販售。
",https://www.cool-style.com.tw/wd2/archives/454349
"

                    				2019-09-26                    			","
    							大膽詮釋「登」式流行風格！adidas Harden Vol. 4 搭載全新 LIGHTSTRIKE 中底輕量出擊！        					","
adidas 簽約球星 James Harden 正式發表第四代簽名鞋款 Harden Vol. 4，設計靈感源自球星個人源源不絕的創造力，搭載全新超輕量中底科技「LIGHTSTRIKE」，首發配色「Barbershop」由街頭潮流品牌設計師 Daniel Patrick 操刀，將 James Harden 場上球風與場下時尚風格完美融合，展現專屬 James Harden 的 FREE TO CREATE 精神！

全新「LIGHTSTRIKE」中底緩震科技以絕佳的避震效果提供舒適腳感，也因鞋身重量減少而成為 Harden 系列中最輕量的鞋款。鞋身獨特的綁帶設計增強穩定性，升級的大底紋路亦提供更強的抓地力，使 James Harden 招牌「後撤步」更加變幻莫測！

為完美詮釋 James Harden 的時尚風格，第四代簽名鞋款以吸睛主題設計嶄新配色，首發三款配色皆用色大膽，由 Daniel Patrick 設計的 Barbershop 與 Pink Lemonade，分別採用紅藍白撞色以及大膽的粉紅色引領球場風騷，Imma Be A Star 則使用金色細節點綴黑魂鞋面，展現 James Harden宰治球場的王者氣息。Harden Vol. 4 自我定義潮流，持續顛覆眾人對球鞋的想像！
 
 
adidas Harden Vol.4 全新配色即日起登台販售，販售詳情請上 adidas Basketball 粉絲團查詢。
 
延伸閱讀：鞋頭們吶喊吧！REEBOK INSTAPUMP FURY 將與 ADIDAS 招牌科技 BOOST 結合啦！
延伸閱讀：細節多到星戰迷要高潮啦！《STAR WARS》X ADIDAS ULTRABOOST「千年鷹號」，後跟竟還有隱藏彩蛋！
延伸閱讀：反光熱潮尚未停歇！ADIDAS YEEZY BOOST 350 V2 竟也搭上 IGO 綠？而這次竟然還多了夜光效果？！
Source/ adidas Basketball
",https://www.cool-style.com.tw/wd2/archives/454114
"

                    				2019-09-26                    			","
    							COOL開箱｜台幣一萬六竟可買到 Jordan 1~14代？！ENTERBAY Michael Jordan 限量版模型，超精緻細節你怎能錯過！        					","
香港玩具公司 ENTERBAY 一直都以高還原度在收藏家心中頗受好評，近日他們與 NBA 官方合作推出 Michael Jordan Final Limited Edition-客場版限量公仔，今日 COOL 開箱就來帶大家見識這款模型到底有多精緻、完成度有多麼高，那話不多我們就趕緊開始吧！
 
▲包裝盒外觀以 Nike 鞋盒為設計靈感，上頭印著 Jordan 的背號 23 與親筆簽名，側邊還有像是鞋標式的條碼設計，連名稱、尺碼、型號都一應俱全。整體顏色彩使用相當具有質感的霧面黑，這堪比藝術品的豪華包裝，讓編輯光是看到這個盒子就快受不了啦！

▲盒子採掀蓋式設計，打開後會看到記錄著 Jordan 在 1985-1998年的輝煌事蹟，這對專業球迷來說超有收藏價值啊！但先提醒大家這只是其中一個驚人細節而已，好戲還在後頭呢~

▲這次採全球限量 5000 套，因此裡面都會附有一張保證卡，上面都會寫有每一組的特別編號。
 
▲再往裡頭看就可以找到公仔的相關配件，此番分別有 80 年與 90 年代的復古球衣和公牛隊的新秀出場服，再加上護肘等護具，可提供收藏者多種不一樣的造型搭配，滿足你心中最美好的 Jordan 時刻。
 
▲看看這個精緻度！連球衣的網眼部分都完美還原，各位客倌有看過做工如此精巧的公仔配件嗎？

▲接下來就有請我們今天的主角 Michael Jordan 登場~疑?怎麼是裸體的啊 XD，身體應用了最新高解析技術，能特別顯出皮膚紋理，大大增強皮膚質感。其身高也是根據 Jordan 的實際身高並按照1/6 比例縮小，因此人偶素體的高度約為 12 吋，總共可動關節多達 30 處還附有 5 組手勢，可自行變換喜歡的動作。

▲下方附有 2 個精美展示台，還呈現特殊木製地板質感。其中黑灰色的底座上面刻著 “THE LAST SHOT” 是 Jordan 在 1998 年 6 月 14 日投出了 0.6 秒的絕殺球 是球迷們印象深刻的經典。
接著重頭戲來了！大家請控制自己的尖叫聲，不要太激動啊(笑)
 
▲外盒下方有一個抽屜式設計，拉開後可看見上方寫著羅馬數字 1~14，各位腦粉們應該已經猜到裡面裝的是什麼了吧~

▲尖叫聲！沒錯！盒子裡頭的居然是 Air Jordan 1~14 代啊~而且大部分都還是經典的客場 Bred 配色，是這次發售的一大賣點。
  
▲看一下大家最愛的 11 代 Bred，不論是鞋頭的漆皮光澤或鞋底的果凍底，任何鞋身細節全都完美還原，真的是超強的啦！

▲4 代還是老屁股呢~
 
▲冰底與貓眼細節這種微小的設計全都完美展示。
 ▲鞋子配件的完整照片。不禁讓編輯想這要是全部都是真的球鞋，那該有多好啊！

▲近期超紅的「開箱」照 -籃球之神  Michael Jordan 版本。
  
▲Jordan 生涯的經典進球 – 1989 年的 The Shot。

編輯結語
這次的開箱過程真的是引起了編輯群們的騷動，原因在於 ENTERBAY 推出的這組 Jordan 模型真的是太精緻、吸睛了，相信只要是男生一定會被迷得魂不守舍的，不管是球鞋的還原度或配件的仿真程度，真的都直逼藝術品啊！再加上設計精巧、擁有不凡質感的包裝外觀都讓整套公仔十分值得收藏，而且全球還是限量 5000 隻，喜歡的朋友趕快前往實體店面購買吧~詳細發售資訊請查詢 NBA Store Taiwan。
Editor_ Arthur(IG專頁)
延伸閱讀：COOL開箱｜CONVERSE 籃球鞋終於登台！ALL STAR PRO BB “FLAMES” 火大到都燒到荷包了啦！
延伸閱讀：特別企劃｜三十年過去依舊是經典！帶你快速了解 AIR JORDAN IV 的 5 大奧秘，原來這雙「超狂聯名款」價格竟飆破百萬！？
延伸閱讀：球鞋巷子內｜科技控的你必須知道的鞋款知識！各運動品牌全新中底科技一覽，別人為什麼跳比較高、跑比較快就是靠這個啦！
",https://www.cool-style.com.tw/wd2/archives/453938
"

                    				2019-09-26                    			","
    							無法複製的龐克精神、硬派風格！ DR.MARTENS X SCHOTT NYC 搭配你的改裝摩托車絕對拉風！        					","
象徵創造自我價值，同時也伴隨著青春回憶，Dr.Martens 擁有著無法被複製取代的靈魂，其經典八孔型號 1460 更是被譽為是一生中必須擁有的馬丁鞋，八孔的長靴造型以上乘的 Full Grain leather 粒面皮革和 Air Wear 大底奠定了人們對於馬丁鞋的品質有一定的信任，包含近年來 Dr.Martens 不斷與街頭潮流品牌合作，如 Supreme、Stussy、Off-White 等，為的就是希望透過聯名讓馬丁呈現給大家多元的樣貌，讓馬丁鞋更貼近你我的日常生活。

image via Dr.Martens
稍早 Dr.Martens 也預告了將與 Schott NYC 合作，這個超過百年的經典皮衣品牌在成立初期便投入摩托車運動當中，推出第一款擁有拉鍊設計的夾克 Perfecto， Perfecto 象徵的叛逆、冒險精神也正好與 Dr.Martens 創造自我價值不謀而合，此番合作除了有經典 1460 以外，也帶來了 10 孔的 1490 型號，兩者皆已「拉鍊」作為設計重點，1460 透過拉鍊元素將鞋舌重組再設計，以鞋帶為輔、拉鍊為主的模式讓鞋款擁有瀟灑俐落的造型，鞋領上的星星標誌也讓人回憶起曾經擁有的那一件 Schott 皮夾克。

image via Dr.Martens
對於擁有 10 孔設計的 1490 型號，為了保留其馬丁長靴的鞋身，選擇將拉鍊配置在鞋身側邊，並且增添一塊壓印上 Dr.Martens 字樣的皮料，讓你知道除了精細的做工品質就連細節設計也相當豐富，與摩托車文化相結合打造的經典長靴，除了呈現硬派精神還具有龐克風格的輪廓美學。

image via Dr.Martens
Dr.Martens x Schott NYC 將於 10 月 4 日開始販售，有興趣的朋友務必持續追蹤 COOL 的後續報導。
文/Walker’s
source / Hypebeast
延伸閱讀：猿頭馬丁第二彈來襲！BAPE X DR.MARTENS「年底重磅」可別再錯過了！
延伸閱讀：特別企劃 ∣ 那些關於馬汀鞋的謠言，DR.MARTENS 台灣區「市場經理」親身解答！
",https://www.cool-style.com.tw/wd2/archives/453667
"

                    				2019-09-26                    			","
    							COOL開箱｜Converse 籃球鞋終於登台！All Star Pro BB “Flames” 火大到都燒到荷包了啦！        					","
Converse 在今年大張旗鼓重回籃球市場，以過去的經典鞋型注入全新科技打造出  All Star Pro BB，無奈之前首發的黑白配色台灣都沒有上市，讓眾多鞋迷們無法實際體驗這雙承襲優良基因的籃球鞋款，還好這次台灣終於迎來首發配色 “Flames”，相信大家肯定第一眼就被這「火熱」的外型給燒到了吧，今天 COOL 就來帶你了解這雙 Converse All Star Pro BB “Flames” 到底有多炙手可熱吧！

▲鞋盒是簡單的黑白搭配，Converse 字體採用亮眼的螢光橘並將星星、ㄑ符號等經典元素融入其中，象徵 All Star Pro BB 是一雙結合過去展望未來的全新籃球鞋。

▲這次 “Flames” 配色是由太陽隊小前鋒 Kelly Oubre Jr. 參與設計，以火焰圖案為主要色彩，明亮的色澤呈現一種明亮、熱情奔放的視覺感受。

▲側邊帶有 Converse 經典的星星標誌，上面還有用塑料材質加強，增加包覆性與支撐。

▲鞋面採用帆布材質並搭配特殊 Quadfit 織法，細看的話就能看見布料帶有微小網眼，除了加強透氣之外還能緩解雙腳壓力以減少摩擦。

▲內側的招牌圓形 Logo 同樣是向 Converse Chuck Taylor 鞋款致敬，將其經典元素融入的科技感的球鞋中，使籃球鞋也能擁有休閒、好搭的外型。

▲鞋頭大部分區域也有用塑料加固，避免打球被踩到腳會太痛 XD。
 
▲鞋底是由小到大的塊狀圖案所組成，因採用的是透明冰底，裡頭還能見到若隱若現的 Converse Logo。

▲All Star Pro BB 跟 Kobe 系列款式一樣都運用可拆卸式的 React 鞋墊，整雙鞋的緩震全都靠這個，鞋墊呈現凹槽狀使雙腳不易滑動，而翻過來看後還能找到小巧思，上面刻有多條紋路增加彎曲時的靈活性，鞋墊重量相當輕卻也很厚實，想必能帶來不錯的軟彈腳感。

編輯結語
大家如果談到 Converse 第一印象肯定都是像帆布鞋等休閒鞋款，但其實過去的 NBA 球員們都是穿著像 Pro Leather 的 Converse 運動鞋在場上奔馳的呢~雖已離開籃球領域有幾年的時間，但這過去擁有的專業技術並沒有消逝，如今 Converse 宣布強勢回歸反而結合過去與未來，整雙 All Star Pro BB 都感覺圍繞在承襲經典帶來全新感受的概念上，真的值得各位球友前往鞋店體驗一番。
Editor_ Arthur(IG專頁)
 
延伸閱讀：終於不用再選深色還淺色啦！CONVERSE CHUCK 70 RENEW 單寧拼接版本旋風襲來，這次的你絕不會有選擇障礙！
延伸閱讀：台灣販售預告｜史上最火籃球鞋！CONVERSE ALL STAR PRO BB “FLAMES”，燃燒你心中的籃球魂！
延伸閱讀：為復古籃球鞋增添時尚韻味！ 肯爺髮型師 IBN JASPER 與 CONVERSE 合作帶回 PRO LEATHER！
Source/Converse
",https://www.cool-style.com.tw/wd2/archives/453586
"

                    				2019-09-26                    			","
    							什麼風格都可以搭！直接包色今年秋冬不用愁了，EXCELSIOR 餅乾鞋 19 秋冬首波配色上市！        					","
源起法國的韓國品牌－EXCELSIOR 餅乾鞋，以加硫鞋工藝風行全球，總能在硫化鞋的基礎上推陳出新，以經典輪胎鞋面紋理為特色，不忘本精神維持品牌初心又求新求變。時序進入 19 年秋冬，首波主打運用了 90 復古流行元素與高級訂製藝術色彩，推出 BOLT Prime2 系列和 BOLT Seasonal 系列。

其中，BOLT Prime2 系列以「可可2.0｣和「工具藍」兩款極具復古工業感色系上市，而 BOLT Seasonal 系列除了極經典的「可可色」外，同時推出「開心果」、「焦糖黑」和「墨迪藍」新色，餅乾鞋粉們是不是立刻陷入選擇困難？！目前 19 秋冬系列皆已在台灣正式發售，準備購入秋冬勁裝的潮流人士們，不妨直接包色了吧！更多詳細資訊請上 EXCELSIOR 餅乾鞋官方網站查詢。
 

 
source: EXCELSIOR
",https://www.cool-style.com.tw/wd2/archives/453672
"

                    				2019-09-26                    			","
    							鞋頭們吶喊吧！Reebok Instapump Fury 將與 adidas 招牌科技 Boost 結合啦！        					","
誕生於 1994 年的 Instapump Fury 徹底改變了運動鞋的功能。這款鞋擁有像拖鞋ㄧ般圓滑的延展設計，並縮短鞋跟的縫隙，腳跟穩定片讓固定性更佳，帶給鞋款舒適與穩定。為了創新改革， Reebok 和 adidas 將 Instapump 大膽的未來主義與 adidas 獨家 Boost™ 緩震技術结合在一起，推出突破性的性能表現，打造出一款可以重新定義運動鞋的 Instapump Fury Boost ™ ，開展一個新的世代。

正如 Instapump Fury 設計師 Steven Smith 的口頭禪:「你不需要更多的!」 Instapump Fury 很快的提升大眾意識，成為反傳統者的首選鞋款。90年代中期， Instapump Fury 已經從運動鞋的範圍延伸到娛樂及設計，成為潮流的指標。前進至 2019 年， Instapump Fury 已經準備就緒，準備以再次突破性的設計及性能的極限，現身運動鞋市場！

Instapump Fury Boost™ 原型將於10/5日本「atmosCon」獨家販售，限量五十雙。未來台灣也將正式發售，務必持續鎖定 COOL – STYLE 潮流生活網。
",https://www.cool-style.com.tw/wd2/archives/453674
"

                    				2019-09-26                    			","
    							這雙聯名不追不行！CLOT x Fragment Design x Nike Air Force 1 實鞋終於現形啦！？        					","
CLOT 與 Nike 攜手合作的 Air Force 1 聯名系列新作「藍絲綢」才剛剛亮相，稍早社群網路上又傳出雙方將找來藤原浩所主理的設計單位 fragment design 進行三方合作。其實這個訊息早在今年 4 月時就已被揭露，當時爆料大神就曾透露 CLOT x fragment design x Nike 選用的是 Air Force 1 PRM 鞋款進行設計，並有 Black、University Red 和 White 3 種配色，隨著 10 月上架時間的逼近，更多聯名鞋款的相關情報也將一一浮現，鞋迷們準備好了嗎？！

@kickwhoshow 釋出的照片僅有鞋履一角，是鞋面？還是鞋墊？不得而知，倒是兩大潮流單位 CLOT 與 fragment design 的標誌性 LOGO 清晰可見，也為這波聯名增添更多話題性。感興趣的鞋頭們請耐心等待 COOL 的後續追蹤囉！

source / @kickwhoshow
",https://www.cool-style.com.tw/wd2/archives/453668
"

                    				2019-09-26                    			","
    							「喊卡」兩年的 Off-White x Vans 或將掘土重來？！鞋迷吶喊：快來，別再欺騙我們的感情囉～        					","
好像是前年的某段時間，Off-White 曾經釋放過與 Vans 的合作鞋履而引爆鞋迷的高度關注，畢竟不管是 Nike 或 Converse，Virgil Abloh 引領的「The Ten」炫風至今仍讓人回味無窮，只是當時曾有網路消息指出，Off-White x Vans 的聯名系列只是為了時裝展展覽用途，並不會對外發售，想不到事隔多時，又有一批全新的 Off-White x Vans 樣品鞋在網路上流傳開來啦！
從照片中不難看到，這次釋出的 Off-White x Vans 諜照是以 Sk8-Hi 為藍本，全白的帆布高筒鞋面上，一白、一黑的中底處注入 Off-White 招牌的交叉箭頭 LOGO，鞋帶上則印有「VIRGIL ABLOH “SHOELACES”」特色字樣，希望這次別再讓我們空歡喜一場啦！感興趣的朋友請隨時留意 COOL 的後續報導。
 
Source / @ovrnundrshp
",https://www.cool-style.com.tw/wd2/archives/453628
