ASIN,brand,url,images,title,star,color,color_pic,comment,price_low,price_high,feature
B01FSDC4XO,New,https://www.amazon.com/New-Balance-MUL460K3-Umpire-Baseball/dp/B01FSDC4XO/ref=sr_1_1?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-1,"https://images-na.ssl-images-amazon.com/images/I/41UV4oPovcL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51y4kRuFc-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UUIypmCrL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41TqLIjwz9L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41eBlY5R68L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qi2g9TgSL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/416bshjK2WL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 Umpire 棒球鞋,4.3,"Black/Black,Black/White","https://images-na.ssl-images-amazon.com/images/I/41sVW7PGpLL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41f7xpYUkoL._SS47_.jpg",56,"TWD 3,928.47","TWD 4,582.88","100% Synthetic/Textile
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							可拆卸鞋墊"
B075R7PSVK,New,https://www.amazon.com/New-Balance-3000v4-Baseball-White/dp/B075R7PSVK/ref=sr_1_2?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-2,"https://images-na.ssl-images-amazon.com/images/I/31Vq1yc2XTL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41uLM6%2BkG3L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nV85LmxrL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41IRJGTZ2TL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31MzxV2CIKL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-Apc63nUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/4154Ln1MQJL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男式 3000v4 棒球鞋,4.5,"Black/Blue,Black/Orange,Black/Purple,Black/Red,Black/White,Black/Yellow,Grey/White,White,Black/Black","https://images-na.ssl-images-amazon.com/images/I/41Ja1wHYjRL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41WqnZ24FNL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41rG67DF21L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41YqdL3vS-L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41LyMGSJM1L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/410RF2fSLkL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41WQ7Xld-nL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Vq1yc2XTL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31AnGbA-VOL._SS36_.jpg",30,"TWD 2,366.57","TWD 7,068.29","皮革與織品
							
						
 
							Synthetic sole
							
						
 
							露趾
							
						
 
							棒球材質，驅動插入
							
						
 
							8 個金屬尖頭鞋底板
							
						
 
							雷射蝕刻/高度拋光板
							
						
 
							雙密度中底 - 全長 Revlite rc/鞋跟 Revlite"
B07HMVBCFW,New,https://www.amazon.com/New-Balance-4040v5-Metal-Baseball/dp/B07HMVBCFW/ref=sr_1_3?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-3,"https://images-na.ssl-images-amazon.com/images/I/41qSjy3r8dL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41d0l0FGF-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Dl%2BCxN%2BNL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41w5F-ytuXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31ZQ7uzgGHL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41t1cb9sMCL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nuqweGJtL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 4040v5 Cleat - 男款棒球,5.0,"Pedroia Camo/Black,Red/White,Royal/White,White/White,Baby Blue/White,Black/Orange,Black/Purple,Black/White,Black/Yelllow,Green/White,Grey/White,Maroon/White,Navy/White,Pedroia White/Camo,Texas/Orange","https://images-na.ssl-images-amazon.com/images/I/41TNNw5NjZL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41K8EViFV6L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41tOW6GEQUL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31EJTYsX0qL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41hzeYAhs6L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41z6RVcCsBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41crFnDbZlL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41SbVlDDRsL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ISAQ973YL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Rvc%2B8kAdL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41QTIMTN56L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41us80BHnUL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qSjy3r8dL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qz2PdeqpL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Nrdh3Y0xL._SS36_.jpg",2,"TWD 3,272.08","TWD 3,502.23","合成纖維
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 Low-Cut 從拱門
							
						
 
							腳趾保護
							
						
 
							低剪裁
							
						
 
							全長 REVlite RC 中底NB棒球數據驅動平臺
超輕質合成鞋面"
B072QDNXMQ,Mizuno,https://www.amazon.com/Mizuno-MIZD9-Advanced-Franchise-Cleat-Low/dp/B072QDNXMQ/ref=sr_1_4?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-4,"https://images-na.ssl-images-amazon.com/images/I/31eByncDFGL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/310AaS2eGrL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/315skuhHlxL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Mizuno (MIZD9) 男款 9-Spike Advanced Franchise 9 模製棒球鞋 - 低筒鞋，,4.5,"Black/White,Royal/White,Navy/White,Red/White","https://images-na.ssl-images-amazon.com/images/I/31eByncDFGL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31nccxDPyHL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31dxBpGv3sL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31PkdEG95RL._SS36_.jpg",137,"TWD 1,104.88","TWD 2,700.82","人造
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							橡膠鉚釘： 提供舒適性和耐用性，適用於所有地面類型
							
						
 
							低筒設計
							
						
 
							棒球專用鞋釘圖案全長中底：舒緩腳趾緩衝 極致舒適
適合人造草地運動"
B01NBA7UYJ,New,https://www.amazon.com/New-Balance-L4040v4-Baseball-Yellow/dp/B01NBA7UYJ/ref=sr_1_5?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-5,"https://images-na.ssl-images-amazon.com/images/I/41PcRxU8yUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/416dyWtU8OL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/410Sh5oO-EL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/319MvFWDgRL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XEZpePBgL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41YW-GqxiGL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51UF2ohdX6L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 4040v4 Cleat - Men's Baseball,4.8,"Black/Yellow,Black/White","https://images-na.ssl-images-amazon.com/images/I/41PcRxU8yUL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CTk6ng1VL._SS47_.jpg",6,"TWD 1,781.56","TWD 4,094.44","Mesh-Synthetic
							
						
 
							Debris-free tongue
							
						
 
							Full-length REVlite RC midsole
							
						
 
							Metal cleats
							
						
 
							NB Baseball data driven platform
							
						
 
							Toe protect"
B07HMP33B8,New,https://www.amazon.com/New-Balance-4040v5-Molded-Baseball/dp/B07HMP33B8/ref=sr_1_6?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-6,"https://images-na.ssl-images-amazon.com/images/I/41klSZf3o4L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41oKLtHovbL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41F0XAqgJAL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31meBzyYSVL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31MMaHqij8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41DAgZo7K4L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41AwaNZO%2BmL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 4040v5 TPU Cleat - 男款棒球,4.0,"All White/White,Black/Camo Pedroia,Navy/White,Red/White,Royal/White,Baby Blue/White,Black/Orange,Black/Purple,Black/White,Black/Yellow,Green/White,Grey/White,Maroon/White,Pedroia Camo White/-,Texas Orange/White","https://images-na.ssl-images-amazon.com/images/I/31pFQQpNbpL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/410WXy1odQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41IAAeB0oAL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41S7Tisqm5L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bro9hWe2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UZxDGGw1L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41o1-7PIuPL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/4104Q3vDa2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Ejd32gO%2BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/417FLn3ozCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41klSZf3o4L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41tr-DnCjyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41i3JOv7i2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41njAPRtdBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Xrd17PYVL._SS36_.jpg",9,"TWD 2,617.34","TWD 2,847.48","合成纖維
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							動力車縫
							
						
 
							TPU 模製扣
							
						
 
							耐用合成鞋面
							
						
 
							創新的 REVlite 中底提供卓越的響應能力和耐用性，比其他具有類似性能的泡沫輕 30%"
B06XCCKS53,Under,https://www.amazon.com/Under-Armour-Leadoff-Baseball-Black/dp/B06XCCKS53/ref=sr_1_7?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-7,"https://images-na.ssl-images-amazon.com/images/I/41MOIrBVSzL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qLTmd4qRL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41MoQh5t%2BYL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Q9ErAMdML._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417jRXYhNFL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41xnMHAlxQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51vPHGFhUBL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Under Armour 男式 Leadoff 低 RM 棒球鞋，,4.5,"Black (001)/Team Royal,Black (011)/White,Black (061)/Red,Team Royal (411)/White,White (100)/White,Red (611)/White,Black/Charcoal","https://images-na.ssl-images-amazon.com/images/I/41Gktsrg0sL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41MOIrBVSzL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51mMv1qurcL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41eU7NSFCJL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41L%2Bo8a6Z1L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/416NJ5y%2B2JL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/418OBnWhKPL._SS36_.jpg",216,"TWD 1,014.53","TWD 3,171.58","合成纖維
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							合成皮革鞋面提供卓越的舒適度，增加耐用性 & 支撐力
							
						
 
							網狀鞋舌增加透氣性，保持雙腳涼爽 & 乾爽
							
						
 
							全長 EVA 中底增加舒適性，緩衝均勻分佈腳下的鞋釘壓力橡膠模製鞋墊提供最佳的抓地力和耐用性 - 適用於所有實地表面
重量：11.4 盎司"
B01N97BKQM,New,https://www.amazon.com/New-Balance-T4040v4-Baseball-Black/dp/B01N97BKQM/ref=sr_1_8?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-8,"https://images-na.ssl-images-amazon.com/images/I/41E%2BD6omGLL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41vhxvK-PXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41RPqwk3N0L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/414NDjr-25L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bt9Suhv6L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bXTtx8i8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Dn7gTjUZL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 T4040v4 草皮棒球鞋,4.2,"Green/White,Royal/White,Black/White,Black/Yellow,White,Black,Black/Orange,Black/Blue,Grey,Red/White,Navy/White,Black Camo,Black/Red","https://images-na.ssl-images-amazon.com/images/I/41ykgozVvEL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XQWWfT5lL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41E%2BD6omGLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51eHhKhnxWL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41j-K%2B0JBQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41aV0pmGCKL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41cttNMnfCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wUb01jOyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BshhJf70L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/510xI4oO7jL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/416GNuV6J2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51mPfzkWCML._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41GBre7PT7L._SS36_.jpg",316,"TWD 2,085.69","TWD 6,836.51","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 mid-top 從拱門
							
						
 
							Revlite 中底
							
						
 
							採用無車縫材質
							
						
 
							可拆卸插入"
B00VTGIGXC,Mizuno,https://www.amazon.com/Mizuno-Spike-Advanced-Erupt-bk-wh/dp/B00VTGIGXC/ref=sr_1_9?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-9,"https://images-na.ssl-images-amazon.com/images/I/31F-qORYQQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Mizuno 男士 9 Spike Advanced Erupt 3 壘球鞋釘,4.3,,,284,"TWD 1,718.70","TWD 2,127.92","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							抓地力強的鉚釘設計，增強牽引力
							
						
 
							Proflex 允許前腳彎曲穿過多彈性區域
							
						
 
							全長中底提供最大舒適度
							
						
 
							適合多種運動
							
						
 
							握把適用於黏土或草地上"
B075R3RDGT,New,https://www.amazon.com/New-Balance-3000v4-Baseball-Black/dp/B075R3RDGT/ref=sr_1_10?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569436632&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-10,"https://images-na.ssl-images-amazon.com/images/I/41EFxpmNtLL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41xbB1stIeL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41msmg8MLbL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CEaMfsARL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41kWruDHplL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41sMh6J2hFL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417pKCpboqL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男式 3000v4 草皮棒球鞋，,4.6,"Black,Black/White,Black/Yellow,Grey/White,Maroon/White,Navy/White,Red/White,Royal/White,Black/Purple,Black/Red,Light Blue,Green/White,Black/Blue,Black/Orange","https://images-na.ssl-images-amazon.com/images/I/41KMcgv9mqL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41EFxpmNtLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lBfUrpG1L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41x63RanoeL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41tXDZdEz%2BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ZGIQcAUnL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41fuNWsfHRL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Q9F7Fnm0L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41m76cvNAsL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41X4j916kSL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BIqUXv2IL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/413xyQjvf2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41J1P2I2aJL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41fhCZ-W2FL._SS36_.jpg",259,"TWD 2,447.11","TWD 6,836.51","織品和合成
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							合成/網眼鞋面
							
						
 
							可拆式枕芯"
