name,category,price,color,sizes,details,style,about,picture,web
Off-White, For Walking  Cowboy Boots,"$1,566.00",Black/White,"['35', '36', '37', '38', '39', '40', '41']","['Leather: Cowhide', 'Western silhouette with pebbled leather', ""'For walking' lettering"", 'Welt stitching and silver-tone toe', 'Exterior leather pull straps and interior grosgrain pull straps', 'Box toe', 'Rubber heel patch at leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",OFFWH30098,Coming Soon,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/offwh/offwh300981138b/offwh300981138b_q1_2-1._UX357_QL90_.jpg,https://www.shopbop.com//for-walking-cowboy-boot-off/vp/v=1/1532488411.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1138B
Monse, MONSE  Stretch Strap Heel Sandals,$177.00,Red,"['38.5', '40']","['Fabric: Stretch weave', 'Logo straps', 'Treaded outsole', 'Strappy silhouette', 'Stiletto heel', 'Covered elastic at ankle', 'Open toe', 'Rubber sole', 'Made in Italy', 'This item cannot be gift-boxed']",MNSEE30195,"Oscar de la Renta alums (and long-time couple) Laura Kim and Fernando Garcia launched womenswear line Monse for spring 2016. The core collection is built with youthful, yet sophisticated sensibilities, offering a balance of tailored pieces and deconstructed designs. Monse apparel and its designers have quickly gained recognition for offering an elevated take on casual staples and striking reinterpretations of day-to-night pieces.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mnsee/mnsee30195102d9/mnsee30195102d9_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//monse-stretch-strap-heel-sandal/vp/v=1/1500430480.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=102D9
Mansur Gavriel,100mm Classic Heels,$495.00,Taupe,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41']","['Leather: Lambskin', 'Adjustable sling-back strap', 'Stiletto heel', 'Pointed toe', 'Rubber heel patch at leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",MANDB30057,Coming Soon,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mandb/mandb3005711876/mandb3005711876_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//100mm-classic-heel-mansur-gavriel/vp/v=1/1592652232.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11876
Malone Souliers,100mm Courtney Pumps,$625.00,Black,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41']","['Leather: Kidskin suede', 'Contrast leather strap', 'Lightly padded footbed', 'Leather-wrapped column heel', 'Pointed toe', 'Rubber heel patch at leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",MSOUL30283,"Malone Souliers is a bold and unapologetically feminine British footwear brand. Founder Mary Alice Malone channeled her shoemaking talents through a unique path of furniture design, welding, carpentry, and upholstery. This led her talent to Cordwainers at the London College of Fashion and a number of European ateliers. Ultimately, her pursuit met an apex with the launch of Malone Souliers in 2015. Malone Souliers shoes are the culmination of the team?™s nonstop commitment to the ever-evolving art of luxury shoemaking.                            See all  Malone Souliers reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/msoul/msoul302831071c/msoul302831071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//courtney-pump-100-malone-souliers/vp/v=1/1503925870.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
Chloe Gosselin,100mm Eva Mules,$267.00,Black,"['35', '36.5']","['Leather: Cowhide', 'Smooth leather', 'Gold-tone chain accent', 'Mules', 'Stiletto heel', 'Pointed toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",CGOSS30020,"Quintessential French elegance and classic Italian craftsmanship? Consider us smitten with Chloe Gosselin! The designer's sought-after pairs are handmade in a remote town in Italy, with emphasis placed on timeless design and exceptional craftsmanship (and a just-right twist of fun). In other words, once Chloe Gosselin heels and mules hit your wardrobe, you'll be seeing things just a bit differently?”okay, a lot differently?”because these are shoes that instantly polish a look. (And they'll also make your next night out feel extra sleek, too.)",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/cgoss/cgoss300201071c/cgoss300201071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//eva-100mm-mule-chloe-gosselin/vp/v=1/1548181493.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
Malone Souliers,100mm Imogen Pumps,$595.00,Nude/Nude,"['35', '35.5', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41', '42']","['Fabric: Velvet', 'Leather trim', 'Lightly padded footbed', 'Stiletto heel', 'Buckle closure', 'Pointed toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",MSOUL30267,"Malone Souliers is a bold and unapologetically feminine British footwear brand. Founder Mary Alice Malone channeled her shoemaking talents through a unique path of furniture design, welding, carpentry, and upholstery. This led her talent to Cordwainers at the London College of Fashion and a number of European ateliers. Ultimately, her pursuit met an apex with the launch of Malone Souliers in 2015. Malone Souliers shoes are the culmination of the team?™s nonstop commitment to the ever-evolving art of luxury shoemaking.                            See all  Malone Souliers reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/msoul/msoul3026720666/msoul3026720666_q1_2-1._UX357_QL90_.jpg,https://www.shopbop.com//imogen-100-pump-malone-souliers/vp/v=1/1510408920.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=20666
Malone Souliers,100mm Lorena Pumps,$625.00,Nude,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40', '41']","['Leather: Patent calfskin', 'Contrast sheepskin strap', 'Lightly padded footbed', 'Covered column heel', 'Rubber heel patch at leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",MSOUL30281,"Malone Souliers is a bold and unapologetically feminine British footwear brand. Founder Mary Alice Malone channeled her shoemaking talents through a unique path of furniture design, welding, carpentry, and upholstery. This led her talent to Cordwainers at the London College of Fashion and a number of European ateliers. Ultimately, her pursuit met an apex with the launch of Malone Souliers in 2015. Malone Souliers shoes are the culmination of the team?™s nonstop commitment to the ever-evolving art of luxury shoemaking.                            See all  Malone Souliers reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/msoul/msoul3028111231/msoul3028111231_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//lorena-100-pump-malone-souliers/vp/v=1/1568319333.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11231
Sergio Rossi,105mm Milano Sandals,$425.00,Clear,['36.5'],"['Fabric: Vinyl', 'Crystal detailing', 'Strappy silhouette', 'Stiletto heel', 'Open toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",SERGI20386,"Sergio Rossi mastered the art of shoemaking while working alongside his father in the '50s. As demand for couture footwear skyrocketed in the '70s, Gianni Versace, Dolce & Gabbana, and Azzedine Alaia requested that Rossi design shoes for their runway shows, and the Sergio Rossi brand emerged as a major force in the fashion world. Today, Sergio Rossi continues to create distinctively beautiful shoes with luxurious materials and superior fit.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sergi/sergi2038611456/sergi2038611456_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//milano-105mm-sandal-sergio-rossi/vp/v=1/1555129216.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11456
Aquazzura,105mm Minou Pumps,$795.00,Black/Soft Gold,"['35', '35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40']","['Leather: Calfskin', 'Suede upper with metallic straps', 'Cutout side', 'Stiletto heel', 'Pointed toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",AQUDB30706,"Columbian-born designer Edgardo Osorio?™s luxe aesthetic and eye for detail have come to life in the Aquazzura footwear collection. After studying at the London College of Fashion and Central Saint Martins, Osorio made his way into the world of fashion footwear with stints at luxury labels such as Roberto Cavalli and Salvatore Ferragamo. Today, Osorio?™s passion for classic silhouettes and modern sophistication shows in every pair of Aquazzura shoes.                            See all  Aquazzura reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aqudb/aqudb307061719a/aqudb307061719a_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//minou-pump-105-aquazzura/vp/v=1/1512894217.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1719A
Aquazzura,105mm Ruffle Crystal Sandals,$995.00,Black,"['35.5', '36', '36.5', '37', '37.5', '38', '38.5', '39']","['Leather: Goatskin', 'Suede', 'Ruffle straps with crystal embellishments', 'Slingback with elastic inset', 'Covered stiletto heel', 'Open toe', 'Leather sole', 'Made in Italy', 'This item cannot be gift-boxed']",AQUDB30700,"Columbian-born designer Edgardo Osorio?™s luxe aesthetic and eye for detail have come to life in the Aquazzura footwear collection. After studying at the London College of Fashion and Central Saint Martins, Osorio made his way into the world of fashion footwear with stints at luxury labels such as Roberto Cavalli and Salvatore Ferragamo. Today, Osorio?™s passion for classic silhouettes and modern sophistication shows in every pair of Aquazzura shoes.                            See all  Aquazzura reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aqudb/aqudb307001071c/aqudb307001071c_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//ruffle-crystal-sandal-105-aquazzura/vp/v=1/1511089074.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
